categoria,dificultad,pregunta,opcion_A,opcion_B,opcion_C,respuesta_correcta,puntos
DC Comics,Facil,¿Qué objeto usa Linterna Verde para canalizar su poder?,Anillo,Bastón,Capa,A,10
DC Comics,Facil,¿Qué periodista trabaja con Superman?,Lois Lane,Mary Jane,Barbara Gordon,A,10
DC Comics,Facil,¿Qué ciudad protege Flash?,Gotham,Central City,Star City,B,10
DC Comics,Media,¿Cuál es el verdadero nombre de Wonder Woman?,Diana Prince,Kara Danvers,Barbara Minerva,A,20
DC Comics,Media,¿Cuál es el nombre del mayordomo de Bruce Wayne?,Jarvis,Alfred,James,B,20
DC Comics,Media,¿Qué miembro de la Liga de la Justicia es de Atlantis?,Aquaman,Flash,Green Lantern,A,20
DC Comics,Media,¿Quién es el villano principal en 'The Dark Knight Rises'?,Joker,Bane,Riddler,B,20
DC Comics,Media,¿Cuál es el nombre del escuadrón de villanos reclutado por el gobierno?,Justice League,Avengers,Suicide Squad,C,20
DC Comics,Dificil,¿Quién mató a los padres de Bruce Wayne?,Joker,Joe Chill,Harvey Dent,B,30
DC Comics,Dificil,¿Cuál es el nombre kryptoniano de Superman?,Jor-El,Zod,Kal-El,C,30
DC Comics,Dificil,¿Qué villano posee una mente brillante y es calvo?,Lex Luthor,Riddler,Penguin,A,30
DC Comics,Dificil,¿Cómo se llama el evento que reinició el universo DC en los cómics?,Crisis Infinita,Flashpoint,Metal,B,30
DC Comics,Dificil,¿Qué miembro de los Teen Titans es mitad robot?,Raven,Cyborg,Beast Boy,B,30
Disney,Facil,¿Quién es la pareja de Mickey Mouse?,Daisy,Minnie,Clarabelle,B,10
Disney,Facil,¿Cuál es el nombre del pez protagonista en 'Buscando a Nemo'?,Nemo,Dory,Marlin,A,10
Disney,Facil,¿Quién canta 'Libre Soy' en Frozen?,Anna,Elsa,Olaf,B,10
Disney,Facil,¿En qué película aparece el genio azul?,Hércules,Aladdin,Tarzán,B,10
Disney,Facil,¿Qué animal es Dumbo?,Ratón,Elefante,Canguro,B,10
Disney,Media,¿Qué princesa se disfraza de hombre para luchar en el ejército?,Ariel,Mulan,Pocahontas,B,20
Disney,Media,¿Cómo se llama el padre de Simba?,Scar,Zazu,Mufasa,C,20
Disney,Media,¿Cuál es el apellido de la familia de Los Increíbles?,Parr,Dash,Frozone,A,20
Disney,Media,¿Qué villano es enemigo de Peter Pan?,Hook,Hades,Gaston,A,20
Disney,Media,¿Qué tipo de animal es Baloo?,León,Oso,Tigre,B,20
Disney,Dificil,¿Qué princesa tiene poderes curativos con su cabello?,Rapunzel,Aurora,Tiana,A,30
Disney,Dificil,¿Cómo se llama el caballo de 'Enredados'?,Pascal,Flynn,Maximus,C,30
Disney,Dificil,¿Qué experimento es Stitch?,626,001,999,A,30
Disney,Dificil,¿Cómo se llama la madre de Bambi?,Bella,No se menciona,Flor,B,30
Disney,Dificil,¿Quién es el villano de 'El Jorobado de Notre Dame'?,Jafar,Frollo,Hades,B,30
Agatha All Along,Facil,¿Quién interpreta a Agatha Harkness?,Kathryn Hahn,Elizabeth Olsen,Teyonah Parris,A,10
Agatha All Along,Facil,¿Cómo se llama el pueblo donde transcurre WandaVision?,Westview,Eastview,Northview,A,10
Agatha All Along,Facil,¿Qué animal se transforma Agatha?,Cuervo,Perro,Gato,C,10
Agatha All Along,Facil,¿De qué color es la magia de Agatha?,Roja,Morada,Azul,B,10
Agatha All Along,Facil,¿Qué relación finge tener con Wanda?,Vecina,Hermana,Madre,A,10
Agatha All Along,Media,¿Qué canción revela que Agatha manipuló todo?,This is Me,Agatha All Along,Wanda's Lament,B,20
Agatha All Along,Media,¿Cuál era el falso nombre de Agatha en WandaVision?,Agnes,Angie,Ann,A,20
Agatha All Along,Media,¿Qué animal convierte en insecto Agatha?,Perro,Pájaro,Conejo,B,20
Agatha All Along,Media,¿Qué fecha se celebra en el episodio de Halloween?,31 de octubre,30 de noviembre,14 de febrero,A,20
Agatha All Along,Media,¿Qué personaje queda atrapado en su sótano?,Tommy,Wanda,Mónica,C,20
Agatha All Along,Dificil,¿En qué siglo nació Agatha?,XVI,XVII,XVIII,B,30
Agatha All Along,Dificil,¿Qué banda compuso la canción 'Agatha All Along'?,Anderson-Lopez,Hans Zimmer,Alan Menken,A,30
Agatha All Along,Dificil,¿Qué personaje es su hijo en los cómics?,Wiccan,Speed,Ninguno,C,30
Agatha All Along,Dificil,¿Cuál es el nombre del conejo de Agatha?,Scratchy,Snickers,Mr. Bun,A,30
Agatha All Along,Dificil,¿Qué piedra del infinito se asocia a su magia?,Mente,Realidad,Tiempo,B,30
